"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"647","Sir,we're w u in #SurgicalStrikeonBlackMoney 2 free India of corrupt politicos!<U+270C>
@MamataOfficial @OfficeOfRG… https://t.co/FYoNm8959B",FALSE,2,NA,2016-11-13 07:34:54,TRUE,NA,"797704273526042624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnjuChandel",0,FALSE,FALSE,NA,NA
"648","RT @sush091979: #SurgicalStrikeonBlackMoney!!
Surprisingly none of them r asking for any proof <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>
Lagta hai proof ghar par hi hai <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>#ModiFig…",FALSE,0,NA,2016-11-13 07:34:49,FALSE,NA,"797704253901045760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajendr76194898",756,TRUE,FALSE,NA,NA
"649","Really, Modi <ed><U+00A0><U+00BD><ed><U+00B9><U+008B> ji aaj emotional kar ditta.. #NationStandWithModi #SurgicalStrikeOnBlackMoney #Goa",FALSE,0,NA,2016-11-13 07:34:42,FALSE,NA,"797704223978713088",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","HiManshuu_k",0,FALSE,FALSE,NA,NA
"650","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:34:40,FALSE,NA,"797704217058312192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","apokyrno",333,TRUE,FALSE,NA,NA
"651","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:34:37,FALSE,NA,"797704205150535680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LegacyDiretc",333,TRUE,FALSE,NA,NA
"652","RT @harshkkapoor: @devyanidilli By Very nature of #SurgicalStrikeOnBlackMoney hoarders of Black Money
can't exchange their money @rupashree…",FALSE,0,NA,2016-11-13 07:34:19,FALSE,NA,"797704127463624704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssharma68",3,TRUE,FALSE,NA,NA
"653","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:33:56,FALSE,NA,"797704030009102336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mtonleb",333,TRUE,FALSE,NA,NA
"654","@narendramodi. best speech i ever heard #bestPM #SurgicalStrikeonBlackMoney <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,1,"narendramodi",2016-11-13 07:33:49,FALSE,NA,"797704002033041408","18839785","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SompuraDheeraj",0,FALSE,FALSE,NA,NA
"655","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:33:37,FALSE,NA,"797703952548515843",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neildpiasr",333,TRUE,FALSE,NA,NA
"656","#IndiaFightsCorruption #IndiaFightsBlackMoney #currencyban #SurgicalStrikeonBlackMoney #WeStandWithModi https://t.co/4kjC6pffUj",FALSE,0,NA,2016-11-13 07:33:37,FALSE,NA,"797703950640107525",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_TanyaRawat_",1,FALSE,FALSE,NA,NA
